"No","Tanggal","Hari","Pilar Konten","Judul Konten","Draft Caption","Platform","Jenis Konten","Referensi Foto/Video (Drive)","Call to Action (CTA)","Status"
"1","21-08-2026","Jumat","Profil & Latar Belakang","Kenalan Yuk sama Bang Desmonth","Perkenalan singkat: siapa Bang Desmonth, dari mana asalnya, dan kenapa maju untuk Jakarta Selatan.","Instagram Feed","Foto","WhatsApp Image 2026-08-18 at 16.02.26.jpeg, WhatsApp Image 2026-08-18 at 16.00.33.jpeg","Follow & simak cerita lengkapnya minggu ini","Belum"
"2","22-08-2026","Sabtu","Politik & Partai Demokrat","Konsolidasi Bersama DPD Partai Demokrat DKI Jakarta","Dokumentasi kegiatan konsolidasi partai, semangat kebersamaan menuju Pileg.","Instagram Story","Foto","WhatsApp Image 2026-08-18 at 15.45.00 (2).jpeg","Dukung perjuangan Bang Desmonth bersama Partai Demokrat","Belum"
"3","23-08-2026","Minggu","Kegiatan Sosial & Kemasyarakatan","Turun Langsung Bantu Warga","Cuplikan kegiatan sosial dan bantuan kepada masyarakat.","TikTok","Foto","WhatsApp Image 2026-08-18 at 16.00.32.jpeg","Tag warga yang butuh bantuan serupa","Belum"
"4","24-08-2026","Senin","Komunitas Keagamaan (HKBP)","Kebersamaan di HKBP Kebayoran Lama","Momen kebersamaan dengan jemaat dan Pemuda Pancasila DKI Jakarta dalam perayaan Natal.","Facebook","Foto","WhatsApp Image 2026-08-18 at 15.21.32 (1).jpeg","Bagikan ke keluarga & sahabat jemaat","Belum"
"5","25-08-2026","Selasa","Blusukan & Aspirasi Warga Jaksel","Menyapa Warga Jakarta Selatan","Blusukan menyapa warga, mendengar keluh kesah langsung dari lapangan.","WhatsApp Group/Broadcast","Foto","WhatsApp Image 2026-08-18 at 15.52.57.jpeg","Ceritakan aspirasimu di kolom komentar","Belum"
"6","26-08-2026","Rabu","Ajakan/CTA & Interaksi Warga","Video Sapaan Bang Desmonth","Video singkat sapaan hangat dan komitmen untuk warga Jakarta Selatan.","Instagram Feed","Video","WhatsApp Video 2026-08-18 at 15.20.31.mp4","Like, share, dan follow untuk update terbaru","Belum"
"7","27-08-2026","Kamis","Kegiatan Sosial & Kemasyarakatan","Kepedulian di Masa Pandemi","Flashback aksi kepedulian bersama Kemensos RI saat pandemi, bukti konsistensi peduli warga.","Instagram Story","Foto","WhatsApp Image 2026-08-18 at 16.58.34.jpeg","Komentar 1 jika kamu ingat kondisi saat itu","Belum"
"8","28-08-2026","Jumat","Profil & Latar Belakang","Nilai & Prinsip Hidup Bang Desmonth","Cerita nilai-nilai yang dipegang teguh: kejujuran, kerja keras, dan kepedulian sosial.","TikTok","Foto","WhatsApp Image 2026-08-18 at 15.52.56.jpeg","Nilai apa yang penting buatmu? Share di komentar","Belum"
"9","29-08-2026","Sabtu","Blusukan & Aspirasi Warga Jaksel","Dialog Warga: Isu Lingkungan","Diskusi santai bersama warga soal isu kebersihan dan lingkungan di Jaksel.","Facebook","Foto","WhatsApp Image 2026-08-18 at 15.52.56 (3).jpeg","Sampaikan isu lingkungan di sekitarmu","Belum"
"10","30-08-2026","Minggu","Politik & Partai Demokrat","Semangat Kader Muda Demokrat","Highlight semangat kader muda dan dukungan struktural partai.","WhatsApp Group/Broadcast","Foto","WhatsApp Image 2026-08-18 at 15.52.56 (2).jpeg, WhatsApp Image 2026-08-18 at 15.52.56 (1).jpeg","Gabung jadi relawan Bang Desmonth","Belum"
"11","31-08-2026","Senin","Komunitas Keagamaan (HKBP)","Silaturahmi Jemaat & Komunitas","Momen silaturahmi hangat bersama jemaat gereja dan komunitas sekitar.","Instagram Feed","Foto","WhatsApp Image 2026-08-18 at 15.05.23.jpeg","Tandai sahabat jemaatmu","Belum"
"12","01-09-2026","Selasa","Ajakan/CTA & Interaksi Warga","Polling: Isu Apa yang Paling Penting?","Konten interaktif polling isu prioritas warga Jaksel (transportasi, banjir, UMKM, dll).","Instagram Story","Foto","WhatsApp Image 2026-08-18 at 15.46.09.jpeg","Vote di polling Instagram Story","Belum"
"13","02-09-2026","Rabu","Kegiatan Sosial & Kemasyarakatan","Aksi Peduli Sesama","Dokumentasi kegiatan sosial/kunjungan komunitas.","TikTok","Foto","WhatsApp Image 2026-08-18 at 15.46.09 (1).jpeg, WhatsApp Image 2026-08-18 at 15.49.07.jpeg","Bagikan cerita kebaikan hari ini","Belum"
"14","03-09-2026","Kamis","Blusukan & Aspirasi Warga Jaksel","Ngobrol Bareng Pelaku UMKM","Kunjungan dan dialog dengan pelaku UMKM lokal di Jakarta Selatan.","Facebook","Foto","WhatsApp Image 2026-08-18 at 15.45.00.jpeg","Dukung UMKM lokal, share ke temanmu","Belum"
"15","04-09-2026","Jumat","Profil & Latar Belakang","Perjalanan Karier & Pengabdian","Ringkasan perjalanan karier dan pengabdian Bang Desmonth di masyarakat.","WhatsApp Group/Broadcast","Foto","WhatsApp Image 2026-08-18 at 15.45.00 (1).jpeg","Simak kisah lengkapnya di link bio","Belum"
"16","05-09-2026","Sabtu","Ajakan/CTA & Interaksi Warga","Video Testimoni Warga","Cuplikan video testimoni dukungan dari warga/komunitas.","Instagram Feed","Video","WhatsApp Video 2026-08-18 at 16.56.13.mp4","Rekam testimonimu dan tag Bang Desmonth","Belum"
"17","06-09-2026","Minggu","Kegiatan Sosial & Kemasyarakatan","Gotong Royong Bersama Warga","Momen gotong royong dan kerja bakti bersama warga sekitar.","Instagram Story","Foto","WhatsApp Image 2026-08-18 at 15.31.01.jpeg","Ajak tetangga ikut gotong royong berikutnya","Belum"
"18","07-09-2026","Senin","Komunitas Keagamaan (HKBP)","Doa Bersama untuk Jakarta Selatan","Momen doa bersama komunitas untuk kemajuan Jakarta Selatan.","TikTok","Foto","WhatsApp Image 2026-08-18 at 15.31.20.jpeg","Amin di kolom komentar","Belum"
"19","08-09-2026","Selasa","Politik & Partai Demokrat","Bersama AHY & Jajaran DPD Demokrat","Highlight kebersamaan dengan jajaran pimpinan Partai Demokrat DKI Jakarta.","Facebook","Foto","WhatsApp Image 2026-08-18 at 15.31.20 (1).jpeg, WhatsApp Image 2026-08-18 at 15.21.18.jpeg","Dukung kader terbaik Demokrat Jaksel","Belum"
"20","09-09-2026","Rabu","Blusukan & Aspirasi Warga Jaksel","Cerita dari Pasar Tradisional","Blusukan ke pasar tradisional, ngobrol dengan pedagang soal harga & kebutuhan sehari-hari.","WhatsApp Group/Broadcast","Foto","WhatsApp Image 2026-08-18 at 15.15.42.jpeg","Cerita pengalamanmu belanja di pasar tradisional","Belum"
"21","10-09-2026","Kamis","Ajakan/CTA & Interaksi Warga","Kuis Seru Berhadiah Merchandise","Kuis ringan seputar Jakarta Selatan berhadiah merchandise kampanye.","Instagram Feed","Foto","WhatsApp Image 2026-08-18 at 15.05.35.jpeg","Jawab di kolom komentar untuk menang","Belum"
"22","11-09-2026","Jumat","Profil & Latar Belakang","Keluarga & Kehidupan Sehari-hari","Sisi personal Bang Desmonth bersama keluarga sebagai motivasi perjuangan.","Instagram Story","Foto","WhatsApp Image 2026-08-18 at 15.10.21.jpeg, WhatsApp Image 2026-08-18 at 15.15.41.jpeg","Keluarga jadi motivasi terbesarku, kalau kamu?","Belum"
"23","12-09-2026","Sabtu","Kegiatan Sosial & Kemasyarakatan","Kunjungan ke Panti/Komunitas Rentan","Dokumentasi kunjungan dan bantuan untuk kelompok rentan di Jaksel.","TikTok","Foto","WhatsApp Image 2026-08-18 at 15.13.11.jpeg","Yuk ikut berdonasi/bergabung jadi relawan","Belum"
"24","13-09-2026","Minggu","Blusukan & Aspirasi Warga Jaksel","Ngobrol Bareng Anak Muda Jaksel","Diskusi santai dengan anak muda soal peluang kerja dan ruang kreatif.","Facebook","Foto","WhatsApp Image 2026-08-18 at 16.57.46.jpeg","Anak muda Jaksel, apa harapanmu?","Belum"
"25","14-09-2026","Senin","Komunitas Keagamaan (HKBP)","Kegiatan Pemuda Pancasila & Gereja","Sinergi kegiatan sosial-keagamaan bersama Pemuda Pancasila dan jemaat.","WhatsApp Group/Broadcast","Foto","WhatsApp Image 2026-08-18 at 16.57.46 (1).jpeg, WhatsApp Image 2026-08-18 at 16.58.35.jpeg","Gabung kegiatan sosial berikutnya","Belum"
"26","15-09-2026","Selasa","Politik & Partai Demokrat","Rapat Konsolidasi Menuju Pileg","Dokumentasi rapat konsolidasi tim pemenangan menuju Pileg DPRD.","Instagram Feed","Foto","WhatsApp Image 2026-08-18 at 16.56.38.jpeg","Relawan siap menang bersama Bang Desmonth","Belum"
"27","16-09-2026","Rabu","Ajakan/CTA & Interaksi Warga","Q&A Langsung dengan Bang Desmonth","Sesi tanya-jawab interaktif (live/Instagram Story Q&A) bersama warga.","Instagram Story","Foto","WhatsApp Image 2026-08-18 at 16.57.07.jpeg","Kirim pertanyaanmu sekarang","Belum"
"28","17-09-2026","Kamis","Kegiatan Sosial & Kemasyarakatan","Recap Kegiatan Sebulan Terakhir","Rangkuman highlight kegiatan sosial & kemasyarakatan sebulan terakhir.","TikTok","Foto","WhatsApp Image 2026-08-18 at 15.52.57 (1).jpeg, WhatsApp Image 2026-08-18 at 15.46.06.jpeg","Kegiatan mana favoritmu? Komen di bawah","Belum"
"29","18-09-2026","Jumat","Blusukan & Aspirasi Warga Jaksel","Malam Ramah Tamah Warga","Dokumentasi acara ramah tamah/silaturahmi malam bersama warga.","Facebook","Foto","WhatsApp Image 2026-08-18 at 16.54.44.jpeg","Terima kasih atas kehangatannya, warga Jaksel!","Belum"
"30","19-09-2026","Sabtu","Ajakan/CTA & Interaksi Warga","Ajakan Dukung & Sebarkan","Penutup bulan: ajakan tegas untuk mendukung dan menyebarkan semangat Bang Desmonth untuk DPRD Jaksel.","WhatsApp Group/Broadcast","Foto","WhatsApp Image 2026-08-18 at 15.42.08.jpeg","Follow, share, dan ajak keluarga untuk mendukung Bang Desmonth!","Belum"
